Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
EVKGR 0.75 070928 S,Bond,EVONIK FINANCE BV,EVKGR 0 3/4 09/07/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FHS 328 F4,Bond,FREDDIE MAC,FHS 328 F4,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
FHYDRO 9% 7/21,Bond,FIRST HYDRO,FirstHydro 9% 1996-31.7.21,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GB
FLUVIU 0.25 021230 S,Bond,FLUVIUS SYSTEM OP,FLUVIU 0 1/4 12/02/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,BE
FMSWMG 0.0 051020,Bond,No Issuer,FMSWMG ECP 0 10/05/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
FNCL AL4244,Bond,FNMA,FN AL4244,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
FR OTR 10Y,Bond,No Issuer,FR OTR 10Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 15Y,Bond,No Issuer,FR OTR 15Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 18M,Bond,No Issuer,FR OTR 18M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 1M,Bond,No Issuer,FR OTR 1M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 1Y,Bond,No Issuer,FR OTR 1Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 20Y,Bond,No Issuer,FR OTR 20Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 25Y,Bond,No Issuer,FR OTR 25Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
FR OTR 2Y,Bond,No Issuer,FR OTR 2Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
